OPERADOR,DEPARTAMENTO,NOMBRE TARIFA,VELOCIDAD DE BAJADA(MBPS),PRECIO (BS),TIPO DE CONEXION
ENTEL S.A.,La Paz,ENTEL INTERNET FREE SOBRE LINEA COOP,0.028,0,DIAL UP
ENTEL S.A.,Cochabamba,ENTEL INTERNET FREE SOBRE LINEA COOP,0.028,0,DIAL UP
ENTEL S.A.,Santa Cruz,ENTEL INTERNET FREE SOBRE LINEA COOP,0.028,0,DIAL UP
ENTEL S.A.,Oruro,ENTEL INTERNET FREE SOBRE LINEA COOP,0.028,0,DIAL UP
ENTEL S.A.,Tarija,ENTEL INTERNET FREE SOBRE LINEA COOP,0.028,0,DIAL UP
ENTEL S.A.,Potosi,ENTEL INTERNET FREE SOBRE LINEA COOP,0.028,0,DIAL UP
ENTEL S.A.,Chuquisaca,ENTEL INTERNET FREE SOBRE LINEA COOP,0.028,0,DIAL UP
ENTEL S.A.,Beni,ENTEL INTERNET FREE SOBRE LINEA COOP,0.028,0,DIAL UP
ENTEL S.A.,Pando,ENTEL INTERNET FREE SOBRE LINEA COOP,0.028,0,DIAL UP
ENTEL S.A.,Santa Cruz,ENTEL INTERNET FREE SOBRE LINEA ENTEL,0.028,0,DIAL UP
ENTEL S.A.,Oruro,ENTEL INTERNET FREE SOBRE LINEA ENTEL,0.028,0,DIAL UP
ENTEL S.A.,Tarija,ENTEL INTERNET FREE SOBRE LINEA ENTEL,0.028,0,DIAL UP
ENTEL S.A.,La Paz,ENTEL INTERNET FREE SOBRE LINEA ENTEL,0.028,0,DIAL UP
ENTEL S.A.,Cochabamba,ENTEL INTERNET FREE SOBRE LINEA ENTEL,0.028,0,DIAL UP
ENTEL S.A.,Potosi,ENTEL INTERNET FREE SOBRE LINEA ENTEL,0.028,0,DIAL UP
ENTEL S.A.,Chuquisaca,ENTEL INTERNET FREE SOBRE LINEA ENTEL,0.028,0,DIAL UP
ENTEL S.A.,Beni,ENTEL INTERNET FREE SOBRE LINEA ENTEL,0.028,0,DIAL UP
ENTEL S.A.,Pando,ENTEL INTERNET FREE SOBRE LINEA ENTEL,0.028,0,DIAL UP
AXS BOLIVIA,La Paz,GPON CARRIER CLASS DE 30 MBPS A 100 MBPS,0,0,GPON
AXS BOLIVIA,Cochabamba,GPON CARRIER CLASS DE 30 MBPS A 100 MBPS,0,0,GPON
AXS BOLIVIA,Santa Cruz,GPON CARRIER CLASS DE 30 MBPS A 100 MBPS,0,0,GPON
AXS BOLIVIA,La Paz,GPON CARRIER CLASS DE 101 MBPS A 200 MBPS,0,0,GPON
AXS BOLIVIA,Cochabamba,GPON CARRIER CLASS DE 101 MBPS A 200 MBPS,0,0,GPON
AXS BOLIVIA,Santa Cruz,GPON CARRIER CLASS DE 101 MBPS A 200 MBPS,0,0,GPON
AXS BOLIVIA,La Paz,ONLINE CARRIER CLASS DE 10 MBPS A 10000 MBPS,0,0,ON LINE
AXS BOLIVIA,Cochabamba,ONLINE CARRIER CLASS DE 10 MBPS A 10000 MBPS,0,0,ON LINE
AXS BOLIVIA,Santa Cruz,ONLINE CARRIER CLASS DE 10 MBPS A 10000 MBPS,0,0,ON LINE
AXS BOLIVIA,La Paz,GPON DE 10 MBPS A 100 MBPS,0,0,GPON
